Haoming Jiang
Chen Liang
Chong Wang
Tuo Zhao
Jun Xu
Manuel Mager
Ramón Fernandez Astudillo
Tahira Naseem
Md Arafat Sultan
Young-Suk Lee
Sheena Panthaplackel
Pengyu Nie
Milos Gligoric
Junyi Jessy Li
Raymond Mooney
Aman Madaan
Amrith Setlur
Tanmay Parekh
Barnabas Poczos
Graham Neubig
Yiming Yang
Ruslan Salakhutdinov
Alan W Black
Shrimai Prabhumoye
Ivan Provilkov
Dmitrii Emelianenko
Elena Voita
Jiawei Zhou
Phillip Keung
Sajad Sotudeh Gharebagh
Nazli Goharian
Ross Filice
Joshua Maynez
Shashi Narayan
Bernd Bohnet
Ryan McDonald
Pinelopi Papalampidi
Lea Frermann
Mirella Lapata
Reinald Kim Amplayo
Trevor Cohen
Serguei Pakhomov
Emily Goodwin
Koustuv Sinha
Timothy J. O’Donnell
Maarten Sap
Eric Horvitz
Yejin Choi
James Pennebaker
Forrest Davis
Marten van Schijndel
Eric Meinhardt
Eric Bakovic
Leon Bergen
Richard Futrell
William Dyer
Greg Scontras
Yulan Feng
Tiancheng Zhao
Eric Michael Smith
Mary Williamson
Kurt Shuster
Jason Weston
Y-Lan Boureau
Houyu Zhang
Zhenghao Liu
Chenyan Xiong
Tianxing He
James Glass
Rashmi Gangadharaiah
Balakrishnan Narayanaswamy
Ahmed Elgohary
saghar Hosseini
Ahmed Hassan Awadallah
Abhyuday Jagannatha
hong yu
Kianté Brantley
Hal Daumé III
Amr Sharaf
Shikhar Murty
Pang Wei Koh
Percy Liang
Danilo Croce
Giuseppe Castellucci
Roberto Basili
Zhengbao Jiang
Wei Xu
Jun Araki
Ouyu Lan
Xiao Huang
Bill Yuchen Lin
He Jiang
Liyuan Liu
Xiang Ren
Jiaao Chen
Zichao Yang
Diyi Yang
Zhiqing Sun
Hongkun Yu
Xiaodan Song
Renjie Liu
Denny Zhou
Robert L Logan IV
Pengcheng He
Weizhu Chen
Xiaodong Liu
Jianfeng Gao
David Demeter
Gregory Kimmel
Doug Downey
Chao Shang
Sarthak Dash
Md. Faisal Mahbub Chowdhury
Nandana Mihindukulasooriya
Alfio Gliozzo
Sinong Wang
Madian Khabsa
Hao Ma
Mozhi Zhang
Yoshinari Fujinuma
Michael J. Paul
Jordan Boyd-Graber
Subhabrata Mukherjee
Asad Mahmood
Zubair Shafiq
Padmini Srinivasan
Ji Xin
Raphael Tang
Jaejun Lee
Yaoliang Yu
Jimmy Lin
Kervy Rivas Rojas
Gina Bustamante
Arturo Oncevay
Marco Antonio Sobrevilla Cabezudo
Hannah Craighead
Andrew Caines
Paula Buttery
Helen Yannakoudakis
Arman Cohan
Sergey Feldman
Iz Beltagy
Daniel Weld
Ruiqi Zhong
Mitchell Stern
Dan Klein
Samuel Broscheit
Kiril Gashteovski
Yanjie Wang
Rainer Gemulla
Vivek Gupta
Maitrey Mehta
Pegah Nokhiz
Vivek Srikumar
Xingdi Yuan
